search URL:,https://patents.google.com/?q=force&q=feedback&q=UI&oq=force+feedback+UI+,,,,,,,,,,,
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link,,,
US-6377011-B1,Force feedback user interface for minimally invasive surgical simulator and teleoperator and other similar apparatus ,Massachusetts Institute Of Technology,Ela Ben-Ur,2000-01-26,2000-01-26,2002-04-23,2002-04-23,https://patents.google.com/patent/US6377011B1/en,https://patentimages.storage.googleapis.com/US6377011B1/US06377011-20020423-D00000.png,,,
US-5754023-A,Gyro-stabilized platforms for force-feedback applications ,Cybernet Systems Corporation,"Gerald P. Roston, Charles J. Jacobus",1995-10-26,1996-10-22,1998-05-19,1998-05-19,https://patents.google.com/patent/US5754023A/en,https://patentimages.storage.googleapis.com/pages/US5754023-1.png,,,
WO-2014061206-A1,Force feedback device and user interface system _coil glove,?™Âºè‰ºöÁ§æ?á„É≥?Ω„Éº,Êµ©‰πã Â∞èÊöÆ,2012-10-15,2013-09-26,2014-04-24,,https://patents.google.com/patent/WO2014061206A1/en,https://patentimages.storage.googleapis.com/58/08/e3/e39e07eca0130a/JPOXMLDOC01-appb-D000001.png,,,
US-2010085169-A1,"User Interface Feedback Apparatus, User Interface Feedback Method, and Program _haptics","Ivan Poupyrev, Shigeaki Maruyama","Ivan Poupyrev, Shigeaki Maruyama",2008-10-02,2009-10-01,2010-04-08,,https://patents.google.com/patent/US20100085169A1/en,https://patentimages.storage.googleapis.com/US20100085169A1/US20100085169A1-20100408-D00000.png,,,
US-2010023857-A1,Intelligent user interface using on-screen force feedback and method of use _cursor,General Electric Company,"Prakash Mahesh, Timothy Kenney, James Whitfill",2008-07-23,2008-07-23,2010-01-28,,https://patents.google.com/patent/US20100023857A1/en,https://patentimages.storage.googleapis.com/US20100023857A1/US20100023857A1-20100128-D00000.png,,,
WO-9721160-A2,Method and apparatus for providing force feedback for a graphical user interface ,Immersion Human Interface Corporation,"Louis B. Rosenberg, Scott B. Brave",1995-12-01,1996-11-26,1997-06-12,,https://patents.google.com/patent/WO1997021160A2/en,,,,
US-6125385-A,Force feedback implementation in web pages ,Immersion Corporation,"Evan F. Wies, Dean C. Chang, Louis B. Rosenberg, Sian W. Tan, Jeffrey R. Mallett",1996-08-01,1999-09-22,2000-09-26,2000-09-26,https://patents.google.com/patent/US6125385A/en,https://patentimages.storage.googleapis.com/pages/US6125385-10.png,,,
US-6353850-B1,Force feedback provided in web pages ,Immersion Corporation,"Evan F. Wies, Dean C. Chang, Louis B. Rosenberg, Sian W. Tan, Jeffrey R. Mallett",1995-12-13,2000-08-28,2002-03-05,2002-03-05,https://patents.google.com/patent/US6353850B1/en,https://patentimages.storage.googleapis.com/US6353850B1/US06353850-20020305-D00000.png,,,
US-7131073-B2,Force feedback applications based on cursor engagement with graphical targets ,Immersion Corporation,"Louis B. Rosenberg, Dean C. Chang",1995-12-13,2001-11-13,2006-10-31,2006-10-31,https://patents.google.com/patent/US7131073B2/en,https://patentimages.storage.googleapis.com/US7131073B2/US07131073-20061031-D00000.png,,,
US-2013215079-A1,User interface with haptic feedback ,Koninklijke Philips Electronics N.V.,"Mark Thomas Johnson, Bartel Marnus Van De Sluis, Dirk Brokken",2010-11-09,2011-11-03,2013-08-22,,https://patents.google.com/patent/US20130215079A1/en,https://patentimages.storage.googleapis.com/96/55/c7/8b074d9ac1ccef/US20130215079A1-20130822-D00000.png,,,
US-2009125166-A1,Active user interface haptic feedback and linking control system using either force or position data ,"Honeywell International, Inc.","Andrew T. Johnson, Casey Hanlon",2007-11-12,2007-11-12,2009-05-14,,https://patents.google.com/patent/US20090125166A1/en,https://patentimages.storage.googleapis.com/US20090125166A1/US20090125166A1-20090514-D00000.png,,,
US-2009095108-A1,Spherical linkage and force feedback controls ,"Shahram Payandeh, Hendrik Van Der Wal, Temei Li","Shahram Payandeh, Hendrik Van Der Wal, Temei Li",2004-12-20,2005-12-12,2009-04-16,,https://patents.google.com/patent/US20090095108A1/en,https://patentimages.storage.googleapis.com/US20090095108A1/US20090095108A1-20090416-D00000.png,,,
US-6300936-B1,Force feedback system including multi-tasking graphical host environment and interface device ,Immersion Corporation,"Adam C. Braun, Jonathan L. Beamer, Louis B. Rosenberg, Dean C. Chang",1997-11-14,1997-11-14,2001-10-09,2001-10-09,https://patents.google.com/patent/US6300936B1/en,https://patentimages.storage.googleapis.com/US6300936B1/US06300936-20011009-D00000.png,,,
US-7113166-B1,Force feedback devices using fluid braking ,Immersion Corporation,"Louis B. Rosenberg, Bruce M. Schena",1995-06-09,2000-04-12,2006-09-26,2006-09-26,https://patents.google.com/patent/US7113166B1/en,https://patentimages.storage.googleapis.com/US7113166B1/US07113166-20060926-D00000.png,,,
US-6088019-A,Low cost force feedback device with actuator for non-primary axis ,Immersion Corporation,Louis B. Rosenberg,1998-06-23,1998-06-23,2000-07-11,2000-07-11,https://patents.google.com/patent/US6088019A/en,https://patentimages.storage.googleapis.com/pages/US6088019-3.png,,,
